opponent,game,repeat,side,result,steps,reward_WinLoss,reward_ResourceGather,reward_ProduceWorker,reward_ProduceBuilding,reward_Attack,reward_ProduceCombatUnit,checkpoint,map,sides,seed,num_games,repeats,parallel
coacAI,134,1,p1,WIN,1137,1.0,0.0,0.0,0.0,0.0,0.0,example_models/16x16/agent.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
coacAI,135,1,p1,WIN,1113,1.0,0.0,0.0,0.0,0.0,0.0,example_models/16x16/agent.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
coacAI,136,1,p1,WIN,1109,1.0,0.0,0.0,0.0,0.0,0.0,example_models/16x16/agent.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
coacAI,137,1,p1,WIN,1102,1.0,0.0,0.0,0.0,0.0,1.0,example_models/16x16/agent.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
coacAI,138,1,p1,WIN,1055,1.0,0.0,0.0,0.0,0.0,0.0,example_models/16x16/agent.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
coacAI,139,1,p1,WIN,1120,1.0,0.0,0.0,0.0,0.0,0.0,example_models/16x16/agent.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
coacAI,140,1,p1,WIN,1092,1.0,0.0,0.0,0.0,0.0,0.0,example_models/16x16/agent.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
coacAI,141,1,p1,WIN,1160,1.0,0.0,0.0,0.0,0.0,0.0,example_models/16x16/agent.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
coacAI,142,1,p1,WIN,1116,1.0,0.0,0.0,0.0,0.0,0.0,example_models/16x16/agent.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
coacAI,143,1,p1,WIN,1087,1.0,0.0,0.0,0.0,0.0,0.0,example_models/16x16/agent.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
coacAI,144,1,p1,WIN,1095,1.0,0.0,0.0,0.0,0.0,0.0,example_models/16x16/agent.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
coacAI,145,1,p1,WIN,1149,1.0,0.0,0.0,0.0,0.0,0.0,example_models/16x16/agent.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
coacAI,146,1,p1,WIN,1162,1.0,0.0,0.0,0.0,0.0,0.0,example_models/16x16/agent.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
coacAI,147,1,p1,WIN,1157,1.0,0.0,0.0,0.0,0.0,0.0,example_models/16x16/agent.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
coacAI,148,1,p1,WIN,1129,1.0,0.0,0.0,0.0,0.0,0.0,example_models/16x16/agent.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
coacAI,149,1,p1,WIN,1100,1.0,0.0,0.0,0.0,0.0,0.0,example_models/16x16/agent.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
coacAI,150,1,p1,WIN,1131,1.0,1.0,0.0,0.0,0.0,0.0,example_models/16x16/agent.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
coacAI,151,1,p1,WIN,1123,1.0,0.0,0.0,0.0,0.0,0.0,example_models/16x16/agent.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
coacAI,152,1,p1,WIN,1119,1.0,0.0,0.0,0.0,1.0,0.0,example_models/16x16/agent.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
